"titolo","artista"
"El Rancho grande","Marisa Fiordaliso"
"Valzer delle candele","Carla Dupont"
"Amado mio","Mara Mauri"
"L'Apaka","Ernesto Bonino"
"Suona balalaika","Natalino Otto"
"Una Notte a Rio","Tony Stella"
"'Na Vota ca scì na vota ca no","Marisa Fiordaliso & Enrico Gentile"
"Eterno ritornello","Teddy Reno"
"Clavel del aire","Ada Algisi & Elio Mannino"
"Non v'innamorate","Mara Mauri"
"Eulalia Torricelli","Gigi Beccaria"
"Brasilena","Jone Caciagli"
"Stormy weather","Teddy Reno"
"Cica cica bum","Nilla Pizzi & Tony Stella"
"Suona balalaika","Aldo Donà"
"Together","Mara Mauri & Radio Boys"
"Hula-hi","Bruno Pallesi"
"Rhapsody in blue","Glenn Miller"
"Imaginez","Bruno Pallesi"
"La Danza dello scoiattolo","Aldo Donà"
"Hanno rapito la luna","Natalino Otto"
"La Chupeta","Enrico Gentile"
"Pioggia d'ottobre","Natalino Otto"
"Put the blame on mame boys","Enrico Gentile"
"Buonanotte angelo mio","Bruno Pallesi"
"Il Mago dello swing","Aldo Donà"
"Stormy weather","Natalino Otto"
"Non è Angelina","Natalino Otto"
"Buona notte Brasile","Nilla Pizzi & Tony Stella"
"Cae, cae","Nilla Pizzi & Tony Stella"
"La Bamba","Bruno Pallesi"
"Imaginez","Natalino Otto"
"Sei la mia bambola","Bruno Pallesi"
"Musica nel cuore","Ernesto Bonino"
"Brazil","Italia Vaniglio"
"Tico-Tico","Italia Vaniglio"
"Bbona furtuna","Franco Ricci"
"Cica cica bum","Gigi Beccaria"
"Così com'è","Ernesto Bonino"
"Cuore napoletano","Oscar Carboni"
"O bella bruna","Rino Salviati"
"La Danza dello scoiattolo","Bruno Pallesi & Giampiero Boneschi"
"Cantando con le lacrime agli occhi","Oscar Carboni"
"La Chupeta","Nilla Pizzi"
"Pioggia d'ottobre","Ada Algisi"
"Put the blame on mame boys","Flo Sandon's"
"Eulalia Torricelli","Marisa Fiordaliso & Enrico Gentile"
"Canto ma sottovoce","Nino Florio"
"Il Mago dello swing","Enrico Gentile & Giampiero Boneschi"
"Maria Cristina","Claudio Villa"
"Serenata serena","Oscar Carboni"
"Non è per gelosia","Rino Salviati"
"Perfidia","Glenn Miller"
"Brazil","Orchestra Francesco Ferrari feat. Aldo Ciardi"
"Tico-Tico","Orchestra Francesco Ferrari"
"Eulalia Torricelli","Corrado Lojacono"
"Cantando con le lacrime agli occhi","Bruno Pallesi"
"Cuore napoletano","Nilo Ossani"
"Cuore napoletano","Luciano Tajoli"
"Serenata serena","Franco Ricci"
"Non è per gelosia","Gigi Beccaria"
"Perfidia","Carla Dupont"
"Maria Cristina","Nino Florio"
